metric,value,simulation_year,scenario_label
youth_quota,0.4977882822325339,1974,Historical
old_quota,0.21238995619931478,1974,Historical
total_pop,78870.0,1974,Historical
share_over_67,0.12690724146282392,1975,Historical
share_20_66,0.5852442926157729,1975,Historical
share_under_20,0.2878484659214032,1975,Historical
total_over_67,9956.0,1975,Historical
total_20_66,45913.0,1975,Historical
total_under_20,22582.0,1975,Historical
youth_quota,0.49184326879097423,1975,Historical
old_quota,0.2168449023152484,1975,Historical
total_pop,78451.0,1975,Historical
share_over_67,0.12952446729593534,1976,Historical
share_20_66,0.5861663213363006,1976,Historical
share_under_20,0.28430921136776405,1976,Historical
total_over_67,10127.0,1976,Historical
total_20_66,45830.0,1976,Historical
total_under_20,22229.0,1976,Historical
youth_quota,0.4850316386646301,1976,Historical
old_quota,0.22096879773074404,1976,Historical
total_pop,78186.0,1976,Historical
share_over_67,0.13195707297082704,1977,Historical
share_20_66,0.5877622108956791,1977,Historical
share_under_20,0.2802807161334938,1977,Historical
total_over_67,10304.0,1977,Historical
total_20_66,45896.0,1977,Historical
total_under_20,21886.0,1977,Historical
youth_quota,0.4768607286037998,1977,Historical
old_quota,0.22450758236011853,1977,Historical
total_pop,78086.0,1977,Historical
share_over_67,0.13355370206659747,1978,Historical
share_20_66,0.5900372833147557,1978,Historical
share_under_20,0.2764090146186468,1978,Historical
total_over_67,10424.0,1978,Historical
total_20_66,46053.0,1978,Historical
total_under_20,21574.0,1978,Historical
youth_quota,0.46846025231798155,1978,Historical
old_quota,0.22634790350248626,1978,Historical
total_pop,78051.0,1978,Historical
share_over_67,0.13536682105478645,1979,Historical
share_20_66,0.5926840502571714,1979,Historical
share_under_20,0.27194912868804216,1979,Historical
total_over_67,10580.0,1979,Historical
total_20_66,46323.0,1979,Historical
total_under_20,21255.0,1979,Historical
youth_quota,0.45884333916197134,1979,Historical
old_quota,0.22839626103663405,1979,Historical
total_pop,78158.0,1979,Historical
share_over_67,0.13642627468994029,1980,Historical
share_20_66,0.5959653958046242,1980,Historical
share_under_20,0.2676083295054356,1980,Historical
total_over_67,10692.0,1980,Historical
total_20_66,46707.0,1980,Historical
total_under_20,20973.0,1980,Historical
youth_quota,0.44903333547434,1980,Historical
old_quota,0.22891643650844626,1980,Historical
total_pop,78372.0,1980,Historical
share_over_67,0.13738422677518944,1981,Historical
share_20_66,0.600196463654224,1981,Historical
share_under_20,0.26241930957058657,1981,Historical
total_over_67,10769.0,1981,Historical
total_20_66,47047.0,1981,Historical
total_under_20,20570.0,1981,Historical
youth_quota,0.4372223521159691,1981,Historical
old_quota,0.22889876081365443,1981,Historical
total_pop,78386.0,1981,Historical
share_over_67,0.13643046162893266,1982,Historical
share_20_66,0.6069826010252739,1982,Historical
share_under_20,0.25658693734579346,1982,Historical
total_over_67,10672.0,1982,Historical
total_20_66,47480.0,1982,Historical
total_under_20,20071.0,1982,Historical
youth_quota,0.4227253580454929,1982,Historical
old_quota,0.22476832350463352,1982,Historical
total_pop,78223.0,1982,Historical
share_over_67,0.13350775268362125,1983,Historical
share_20_66,0.6168289023123389,1983,Historical
share_under_20,0.24966334500403986,1983,Historical
total_over_67,10410.0,1983,Historical
total_20_66,48096.0,1983,Historical
total_under_20,19467.0,1983,Historical
youth_quota,0.40475299401197606,1983,Historical
old_quota,0.21644211576846306,1983,Historical
total_pop,77973.0,1983,Historical
share_over_67,0.13039503502266173,1984,Historical
share_20_66,0.6272919241862381,1984,Historical
share_under_20,0.24231304079110014,1984,Historical
total_over_67,10127.0,1984,Historical
total_20_66,48718.0,1984,Historical
total_under_20,18819.0,1984,Historical
youth_quota,0.38628433022702086,1984,Historical
old_quota,0.20786978118970403,1984,Historical
total_pop,77664.0,1984,Historical
share_over_67,0.1269307568438003,1985,Historical
share_20_66,0.6372302737520129,1985,Historical
share_under_20,0.2358389694041868,1985,Historical
total_over_67,9853.0,1985,Historical
total_20_66,49465.0,1985,Historical
total_under_20,18307.0,1985,Historical
youth_quota,0.370100070757101,1985,Historical
old_quota,0.1991913474173658,1985,Historical
total_pop,77625.0,1985,Historical
share_over_67,0.1259808083146819,1986,Historical
share_20_66,0.6438604615265879,1986,Historical
share_under_20,0.23015873015873015,1986,Historical
total_over_67,9794.0,1986,Historical
total_20_66,50055.0,1986,Historical
total_under_20,17893.0,1986,Historical
youth_quota,0.3574667865348117,1986,Historical
old_quota,0.1956647687543702,1986,Historical
total_pop,77742.0,1986,Historical
share_over_67,0.12801808281105517,1987,Historical
share_20_66,0.6474622418575978,1987,Historical
share_under_20,0.22451967533134695,1987,Historical
total_over_67,9968.0,1987,Historical
total_20_66,50414.0,1987,Historical
total_under_20,17482.0,1987,Historical
youth_quota,0.346768754710993,1987,Historical
old_quota,0.19772285476256596,1987,Historical
total_pop,77864.0,1987,Historical
share_over_67,0.1293282791540631,1988,Historical
share_20_66,0.6498704547485036,1988,Historical
share_under_20,0.22080126609743334,1988,Historical
total_over_67,10133.0,1988,Historical
total_20_66,50918.0,1988,Historical
total_under_20,17300.0,1988,Historical
youth_quota,0.33976197022663884,1988,Historical
old_quota,0.19900624533563765,1988,Historical
total_pop,78351.0,1988,Historical
share_over_67,0.12966007385300218,1989,Historical
share_20_66,0.6521321260559462,1989,Historical
share_under_20,0.21820780009105165,1989,Historical
total_over_67,10253.0,1989,Historical
total_20_66,51568.0,1989,Historical
total_under_20,17255.0,1989,Historical
youth_quota,0.3346067328575861,1989,Historical
old_quota,0.19882485262178096,1989,Historical
total_pop,79076.0,1989,Historical
share_over_67,0.12937988483396268,1990,Historical
share_20_66,0.653485717153216,1990,Historical
share_under_20,0.2171343980128213,1990,Historical
total_over_67,10313.0,1990,Historical
total_20_66,52090.0,1990,Historical
total_under_20,17308.0,1990,Historical
youth_quota,0.33227106930312916,1990,Historical
old_quota,0.19798425801497405,1990,Historical
total_pop,79711.0,1990,Historical
share_over_67,0.1294950577735675,1991,Historical
share_20_66,0.6549291385693096,1991,Historical
share_under_20,0.21557580365712292,1991,Historical
total_over_67,10389.0,1991,Historical
total_20_66,52543.0,1991,Historical
total_under_20,17295.0,1991,Historical
youth_quota,0.3291589745541747,1991,Historical
old_quota,0.19772376910340103,1991,Historical
total_pop,80227.0,1991,Historical
share_over_67,0.1301758331376886,1992,Historical
share_20_66,0.6547961793670996,1992,Historical
share_under_20,0.21502798749521185,1992,Historical
total_over_67,10535.0,1992,Historical
total_20_66,52992.0,1992,Historical
total_under_20,17402.0,1992,Historical
youth_quota,0.32838919082125606,1992,Historical
old_quota,0.1988035929951691,1992,Historical
total_pop,80929.0,1992,Historical
share_over_67,0.13109328477570806,1993,Historical
share_20_66,0.6535593887644873,1993,Historical
share_under_20,0.21534732645980462,1993,Historical
total_over_67,10655.0,1993,Historical
total_20_66,53120.0,1993,Historical
total_under_20,17503.0,1993,Historical
youth_quota,0.3294992469879518,1993,Historical
old_quota,0.2005835843373494,1993,Historical
total_pop,81278.0,1993,Historical
share_over_67,0.1324595957736627,1994,Historical
share_20_66,0.6521248266637215,1994,Historical
share_under_20,0.2154155775626158,1994,Historical
total_over_67,10794.0,1994,Historical
total_20_66,53141.0,1994,Historical
total_under_20,17554.0,1994,Historical
youth_quota,0.33032874804764684,1994,Historical
old_quota,0.20312000150542894,1994,Historical
total_pop,81489.0,1994,Historical
share_over_67,0.13421152411355325,1995,Historical
share_20_66,0.6501669540967967,1995,Historical
share_under_20,0.21562152178965008,1995,Historical
total_over_67,10973.0,1995,Historical
total_20_66,53157.0,1995,Historical
total_under_20,17629.0,1995,Historical
youth_quota,0.3316402355287168,1995,Historical
old_quota,0.20642624677841112,1995,Historical
total_pop,81759.0,1995,Historical
share_over_67,0.13587327931270135,1996,Historical
share_20_66,0.648455042468027,1996,Historical
share_under_20,0.2156716782192717,1996,Historical
total_over_67,11134.0,1996,Historical
total_20_66,53137.0,1996,Historical
total_under_20,17673.0,1996,Historical
youth_quota,0.33259310838022466,1996,Historical
old_quota,0.20953384647232623,1996,Historical
total_pop,81944.0,1996,Historical
share_over_67,0.1380984326401171,1997,Historical
share_20_66,0.6464841129474904,1997,Historical
share_under_20,0.21541745441239252,1997,Historical
total_over_67,11322.0,1997,Historical
total_20_66,53002.0,1997,Historical
total_under_20,17661.0,1997,Historical
youth_quota,0.3332138409871326,1997,Historical
old_quota,0.21361458058186483,1997,Historical
total_pop,81985.0,1997,Historical
share_over_67,0.13969520602267044,1998,Historical
share_20_66,0.6457166562953744,1998,Historical
share_under_20,0.21458813768195517,1998,Historical
total_over_67,11449.0,1998,Historical
total_20_66,52921.0,1998,Historical
total_under_20,17587.0,1998,Historical
youth_quota,0.33232554184539215,1998,Historical
old_quota,0.21634133897696567,1998,Historical
total_pop,81957.0,1998,Historical
share_over_67,0.1407577105394636,1999,Historical
share_20_66,0.6456137357883577,1999,Historical
share_under_20,0.2136285536721787,1999,Historical
total_over_67,11551.0,1999,Historical
total_20_66,52981.0,1999,Historical
total_under_20,17531.0,1999,Historical
youth_quota,0.3308922066401163,1999,Historical
old_quota,0.2180215548970386,1999,Historical
total_pop,82063.0,1999,Historical
share_over_67,0.14181893434939802,2000,Historical
share_20_66,0.6464387013524535,2000,Historical
share_under_20,0.21174236429814844,2000,Historical
total_over_67,11650.0,2000,Historical
total_20_66,53103.0,2000,Historical
total_under_20,17394.0,2000,Historical
youth_quota,0.327552115699678,2000,Historical
old_quota,0.21938496883415248,2000,Historical
total_pop,82147.0,2000,Historical
share_over_67,0.14593571402569983,2001,Historical
share_20_66,0.6446313081674008,2001,Historical
share_under_20,0.2094329778068994,2001,Historical
total_over_67,12027.0,2001,Historical
total_20_66,53126.0,2001,Historical
total_under_20,17260.0,2001,Historical
youth_quota,0.32488800210819563,2001,Historical
old_quota,0.2263863268456123,2001,Historical
total_pop,82413.0,2001,Historical
share_over_67,0.14972788868283576,2002,Historical
share_20_66,0.6431402494454748,2002,Historical
share_under_20,0.20713186187168953,2002,Historical
total_over_67,12353.0,2002,Historical
total_20_66,53061.0,2002,Historical
total_under_20,17089.0,2002,Historical
youth_quota,0.32206328565236236,2002,Historical
old_quota,0.23280752341644517,2002,Historical
total_pop,82503.0,2002,Historical
share_over_67,0.15385827535212976,2003,Historical
share_20_66,0.6412519091371912,2003,Historical
share_under_20,0.20488981551067906,2003,Historical
total_over_67,12693.0,2003,Historical
total_20_66,52902.0,2003,Historical
total_under_20,16903.0,2003,Historical
youth_quota,0.3195153302332615,2003,Historical
old_quota,0.2399342179879778,2003,Historical
total_pop,82498.0,2003,Historical
share_over_67,0.15845258307057966,2004,Historical
share_20_66,0.6388794567062819,2004,Historical
share_under_20,0.2026679602231385,2004,Historical
total_over_67,13066.0,2004,Historical
total_20_66,52682.0,2004,Historical
total_under_20,16712.0,2004,Historical
youth_quota,0.3172240993128583,2004,Historical
old_quota,0.24801640028852356,2004,Historical
total_pop,82460.0,2004,Historical
share_over_67,0.16364055635119062,2005,Historical
share_20_66,0.6362477850328907,2005,Historical
share_under_20,0.20011165861591865,2005,Historical
total_over_67,13483.0,2005,Historical
total_20_66,52423.0,2005,Historical
total_under_20,16488.0,2005,Historical
youth_quota,0.3145184365641036,2005,Historical
old_quota,0.25719626881330715,2005,Historical
total_pop,82394.0,2005,Historical
share_over_67,0.16982691559704396,2006,Historical
share_20_66,0.6332652664332944,2006,Historical
share_under_20,0.1969078179696616,2006,Historical
total_over_67,13972.0,2006,Historical
total_20_66,52100.0,2006,Historical
total_under_20,16200.0,2006,Historical
youth_quota,0.31094049904030713,2006,Historical
old_quota,0.26817658349328216,2006,Historical
total_pop,82272.0,2006,Historical
share_over_67,0.17595297210457134,2007,Historical
share_20_66,0.6302516917384743,2007,Historical
share_under_20,0.19379533615695438,2007,Historical
total_over_67,14457.0,2007,Historical
total_20_66,51784.0,2007,Historical
total_under_20,15923.0,2007,Historical
youth_quota,0.3074887996292291,2007,Historical
old_quota,0.2791788969565889,2007,Historical
total_pop,82164.0,2007,Historical
share_over_67,0.18107699067519406,2008,Historical
share_20_66,0.628289313088903,2008,Historical
share_under_20,0.19063369623590296,2008,Historical
total_over_67,14836.0,2008,Historical
total_20_66,51477.0,2008,Historical
total_under_20,15619.0,2008,Historical
youth_quota,0.30341706004623425,2008,Historical
old_quota,0.288206383433378,2008,Historical
total_pop,81932.0,2008,Historical
share_over_67,0.18384854492498226,2009,Historical
share_20_66,0.628656044251903,2009,Historical
share_under_20,0.18749541082311477,2009,Historical
total_over_67,15023.0,2009,Historical
total_20_66,51370.0,2009,Historical
total_under_20,15321.0,2009,Historical
youth_quota,0.29824800467198753,2009,Historical
old_quota,0.2924469534747907,2009,Historical
total_pop,81714.0,2009,Historical
share_over_67,0.18670493995264908,2010,Historical
share_20_66,0.629068070020486,2010,Historical
share_under_20,0.1842269900268649,2010,Historical
total_over_67,15220.0,2010,Historical
total_20_66,51281.0,2010,Historical
total_under_20,15018.0,2010,Historical
youth_quota,0.29285700356857314,2010,Historical
old_quota,0.29679608431972854,2010,Historical
total_pop,81519.0,2010,Historical
share_over_67,0.18921678495828664,2011,Historical
share_20_66,0.6265346781222761,2011,Historical
share_under_20,0.18424853691943718,2011,Historical
total_over_67,15196.0,2011,Historical
total_20_66,50317.0,2011,Historical
total_under_20,14797.0,2011,Historical
youth_quota,0.2940755609436175,2011,Historical
old_quota,0.3020052864836934,2011,Historical
total_pop,80310.0,2011,Historical
share_over_67,0.18779657648257186,2012,Historical
share_20_66,0.6293384015303968,2012,Historical
share_under_20,0.1828650219870314,2012,Historical
total_over_67,15118.0,2012,Historical
total_20_66,50663.0,2012,Historical
total_under_20,14721.0,2012,Historical
youth_quota,0.29056708051240554,2012,Historical
old_quota,0.29840317391390164,2012,Historical
