scenario_label,simulation_year,metric,aggregate,raw_value,n_simulations,simulation_ids,value
G1L1W1,2029,share_20_66,mean,0.5871527948596217,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5871527948596217
G1L1W1,2029,share_over_67,mean,0.2089319717221619,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2089319717221619
G1L1W1,2029,share_under_20,mean,0.18821960529329193,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18821960529329193
G1L1W1,2029,total_20_66,mean,23217.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",48313.52936666667
G1L1W1,2029,total_over_67,mean,8261.666666666666,3,"[np.int64(1), np.int64(2), np.int64(3)]",17191.908708333332
G1L1W1,2029,total_pop,mean,39542.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",82284.62999166668
G1L1W1,2029,total_under_20,mean,7442.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15487.631133333334
G1L1W1,2029,youth_quota,mean,0.3205745497597283,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3205745497597283
G1L1W1,2030,old_quota,mean,0.36731255836530385,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.36731255836530385
G1L1W1,2030,share_20_66,mean,0.581694185898137,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.581694185898137
G1L1W1,2030,share_over_67,mean,0.2136536725409647,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2136536725409647
G1L1W1,2030,share_under_20,mean,0.1889381447035532,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.1889381447035532
G1L1W1,2030,total_20_66,mean,22938.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",47733.64493333334
G1L1W1,2030,total_over_67,mean,8425.333333333334,3,"[np.int64(1), np.int64(2), np.int64(3)]",17532.48676666667
G1L1W1,2030,total_pop,mean,39434.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",82059.89009166668
G1L1W1,2030,total_under_20,mean,7450.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15504.278533333336
